doi,affiliation
10.1186/1471-2105-13-S1-S2,
10.1186/1471-2105-13-S1-S2,
10.1186/2041-1480-2-4,"Research Organization of Information and Systems (Minato, Japan)"
10.1145/2166896.2166925,"St. Paul's Hospital, Vancouver (Vancouver, Canada)"
10.1186/2041-1480-2-8,"The University of British Columbia (Vancouver, Canada)"
10.1186/2041-1480-2-8,"The University of British Columbia (Vancouver, Canada)"
10.1093/bioinformatics/btq416,"St. Paul's Hospital, Vancouver (Vancouver, Canada)"
10.1093/bioinformatics/btq416,"St. Paul's Hospital, Vancouver (Vancouver, Canada)"
10.1186/1471-2105-11-S12-S7,"The University of British Columbia (Vancouver, Canada)"
10.1186/1471-2105-11-s12-s7,"The University of British Columbia (Vancouver, Canada)"
10.1007/978-3-642-16558-0_26,"The University of British Columbia (Vancouver, Canada)"
10.1007/978-3-642-16558-0_26,"The University of British Columbia (Vancouver, Canada)"
10.1186/2041-1480-1-8,"Research Organization of Information and Systems (Minato, Japan)"
10.1007/978-3-642-16558-0\_22,
10.1007/978-0-387-39940-9_1560,
10.1093/bib/bbn051,"The University of British Columbia (Vancouver, Canada)"
10.1093/bib/bbn051,"The University of British Columbia (Vancouver, Canada)"
10.1109/cse.2009.144,"The University of British Columbia (Vancouver, Canada)"
10.1109/APSCC.2009.5394148,"The University of British Columbia (Vancouver, Canada)"
10.1109/APSCC.2009.5394148,"The University of British Columbia (Vancouver, Canada)"
10.1007/978-3-642-10871-6_27,"The University of British Columbia (Vancouver, Canada)"
10.1186/1471-2105-10-313,"The University of British Columbia (Vancouver, Canada)"
10.1186/1471-2105-10-313,"The University of British Columbia (Vancouver, Canada)"
10.1007/978-0-387-39940-9_633,
10.1155/2008/369601,"International Rice Research Institute (Makati, Philippines)"
10.4172/jpb.1000029,
10.1093/bib/bbn003,"St. Paul's Hospital, Vancouver (Vancouver, Canada)"
10.1093/bib/bbn003,"St. Paul's Hospital, Vancouver (Vancouver, Canada)"
10.1016/j.jbi.2008.02.005,"The University of British Columbia (Vancouver, Canada)"
10.1016/j.jbi.2008.02.005,"The University of British Columbia (Vancouver, Canada)"
10.1093/bioinformatics/btl648,"The University of British Columbia (Vancouver, Canada)"
10.1093/bioinformatics/btl648,"The University of British Columbia (Vancouver, Canada)"
10.1145/1242572.1242787,"The University of British Columbia (Vancouver, Canada)"
10.1145/1242572.1242766,"The University of British Columbia (Vancouver, Canada)"
10.1109/BIBM.2007.5,"University of Calgary (Calgary, Canada)"
10.1109/BIBM.2007.5,"University of Calgary (Calgary, Canada)"
10.1186/1471-2105-7-523,"The University of British Columbia (Vancouver, Canada)"
10.1186/1471-2105-7-523,"The University of British Columbia (Vancouver, Canada)"
10.1186/1751-0473-1-4,"The University of British Columbia (Vancouver, Canada)"
10.1186/1751-0473-1-4,"The University of British Columbia (Vancouver, Canada)"
10.1186/1471-2105-7-534,"The University of British Columbia (Vancouver, Canada)"
10.1186/1471-2105-7-534,"The University of British Columbia (Vancouver, Canada)"
10.1093/bib/bbl025,
10.1093/bib/bbl025,
10.1104/pp.104.059170,"The University of British Columbia (Vancouver, Canada)"
10.1104/pp.104.059170,"The University of British Columbia (Vancouver, Canada)"
10.1186/1471-2229-4-3,"University of Washington (Seattle, United States)"
10.1007/978-3-540-30475-3_25,"Cold Spring Harbor Laboratory (Cold Spring Harbor, United States) | The University of Manchester (Manchester, United Kingdom) | The University of British Columbia (Vancouver, Canada) | National Center for Genome Resources (Santa Fe, United States)"
10.1093/bib/3.4.331,"National Research Council Canada (Ottawa, Canada)"
10.1093/bib/3.4.331,"National Research Council Canada (Ottawa, Canada)"
10.1093/bioinformatics/18.10.1398,"National Research Council Canada (Ottawa, Canada) | The Genomics Institute of the Novartis Research Foundation (San Diego, United States)"
10.1101/gr.361602,"Duke University (Durham, United States) | The Genomics Institute of the Novartis Research Foundation (San Diego, United States)"
10.1101/gr.361602,"Duke University (Durham, United States) | The Genomics Institute of the Novartis Research Foundation (San Diego, United States)"
10.​1105/​tpc.​9.​11.​1921,
10.​1105/​tpc.​7.​9.​1501,
10.​1105/​tpc.​7.​9.​1485,
